"id","tradingName","stockCode","lastPrice","roe","marketcap","totalRev","pe","yieldPercent","sector","gtiScore","oneYearChange"
1166,"ST Engineering","S63",3.67,24.07,11459.558,8311.882,20.75,4.63,"Industrial Goods",96,14.85
1167,"ST Group Food","DRX",0.13,0.57,31.98,43.175,294.65,1.29,"Cyclical Consumer Services",78,4.65
1168,"Stamford Land","H07",0.4,-2.63,597.515,148.013,NULL,1.25,"Cyclical Consumer Services",86,-5.54
1169,"Stamford Tyres","S29",0.183,4.75,43.442,204.458,8.16,8.2,"Automobiles & Auto Parts",88,9.71
1170,"StarHub","CC3",1.04,11.11,1800.917,2327.3,29.05,6.15,"Telecommunications Services",95,13.94
1171,"Straco","S85",0.47,-2.46,408.397,28.858,NULL,2.13,"Cyclical Consumer Services",70,-36.15
1172,"Straits Trading","S20",2.33,40.19,1052.654,621.777,1.53,2.86,"Mineral Resources",60,15.2
1173,"SunMoonFood","AAJ",0.021,-5.12,16.477,45.106,NULL,NULL,"Food & Beverages",67,34.02
1174,"Sunpower","5GD",0.385,15.51,306.339,706.361,12.14,0.78,"Industrial Goods",61,65.09
1175,"Sunright","S71",0.31,-4.91,38.07,100.718,NULL,0.97,"Technology Equipment",53,-9.59
1176,"Suntar Eco-City","BKZ",0.1,0.18,6.276,1.152,205.38,NULL,"Pharmaceuticals & Medical Research",60,-67.85
1177,"SUTL Enterprise","BHU",0.55,10.5,47.89,22.753,7.71,3.64,"Cyclical Consumer Services",69,22.78
1178,"Swiber","BGK",0.109,-4.97,49.194,1139.094,NULL,NULL,"Energy - Fossil Fuels",35,24.21
1179,"Swing Media Tech","BEV",0.46,4.97,25.107,192.05,NULL,NULL,"Cyclical Consumer Services",50,2.19
1180,"Sysma","5UO",0.13,11.01,33.93,52.304,4.98,9.94,"Industrial & Commercial Services",53,-6.36
1181,"TA","PA3",0.074,-21.71,38.337,242.644,NULL,NULL,"Real Estate",59,27.03
1182,"Taka Jewellery","42L",0.071,5.47,40.151,104.27,6.75,NULL,"Retailers",69,7.68
1183,"TalkMed","5G3",0.41,30.14,542.247,64.361,20.59,5.85,"Healthcare Services",75,6.71
1184,"Tat Seng Pkg","T12",0.66,13.03,103.752,366.933,4.44,6.06,"Applied Resources",75,4.83
1185,"TC Auto","VI2",0.14,NULL,82.546,882.986,4.5,3.79,"Automobiles & Auto Parts",54,NULL
1186,"TCIL HK$","T15",1.68,4.55,3422.625,12189.908,7.11,4.41,"Transportation",NULL,-3.95
1187,"TEE Intl","M1Z",0.032,NULL,19.488,30.413,NULL,NULL,"Industrial & Commercial Services",34,NULL
1188,"Teho Intl","5OQ",0.045,14.68,10.594,57.176,3.75,2.22,"Industrial Goods",92,-7.5
1189,"TeleChoice Intl","T41",0.099,-7.28,44.988,199.834,NULL,1.26,"Technology Equipment",80,-3.19
1190,"ThaiBev","Y92",0.7,15.98,17587.328,10756.376,14.79,3.05,"Food & Beverages",73,13.23
1191,"Thakral","AWI",0.595,8.22,76.092,130.388,6.46,6.72,"Real Estate",89,19.75
1192,"The Place Hldg","E27",0.014,-6.55,82.329,1.192,NULL,NULL,"Holding Companies",42,3.38
1193,"TheHourGlass","AGS",2.06,25.38,1452.324,1116.486,7.92,3.88,"Retailers",76,20.63
1194,"Thomson Medical","A50",0.072,10.53,1903.757,333.706,35.47,1.6,"Healthcare Services",72,38.81
1195,"TIH","T55",0.23,1.66,55.588,7.939,26.56,4.35,"Collective Investments",64,-48.53
1196,"Tiong Seng","BFI",0.1,-50.11,45.962,263.328,NULL,2.5,"Industrial & Commercial Services",NULL,-15.7
1197,"Tiong Woon","BQM",0.47,4.13,109.151,122.588,9.58,0.74,"Industrial Goods",86,8.53
1198,"TJ DaRenTang USD","T14",1.2,12.86,2869.402,1059.605,7.48,NULL,"Pharmaceuticals & Medical Research",59,2.13
1199,"Top Glove","BVA",0.245,-1.9,6647.756,4620.76,NULL,52.96,"Healthcare Services",NULL,-65.03
1200,"Tosei","S2D",9.5,12.45,70104.672,70953.484,7.94,3.54,"Real Estate",NULL,14.95
1201,"Totm Tech","42F",0.102,-22.54,136.781,11.127,NULL,NULL,"Financial Technology (Fintech) & Infrastructure",60,995.18
1202,"Travelite","BCZ",0.091,16.32,5.743,39.371,2.17,NULL,"Retailers",55,93.43
1203,"Trek 2000 Intl","5AB",0.067,-22.3,21.716,31.909,NULL,NULL,"Technology Equipment",68,NULL
1204,"Trendlines","42T",0.098,-9.84,87.538,3.731,NULL,NULL,"Banking & Investment Services",96,NULL
1205,"TrickleStar","CYW",0.24,-40.8,19.963,15.62,NULL,0.83,"Industrial Goods",74,-1.87
1206,"Tritech","5G9",0.022,-27.74,25.994,24.739,NULL,NULL,"Industrial & Commercial Services",71,-11.05
1207,"Triyards","RC5",0.084,-114.28,26.709,154.022,NULL,NULL,"Energy - Fossil Fuels",46,-64.23
1208,"TSH","KUH",0.091,-3.0,4.036,5.981,NULL,NULL,"Cyclical Consumer Services",70,20.33
1209,"TT Intl","T09",0.014,NULL,14.156,33.265,NULL,NULL,"Retailers",37,-13.6
1210,"Tuan Sing","T24",0.36,-0.59,443.132,215.347,NULL,1.94,"Real Estate",102,-13.48
1211,"Tye Soon","BFU",0.395,9.3,34.47,235.881,6.52,2.15,"Automobiles & Auto Parts",67,6.53
1212,"UGHealthcare","8K7",0.175,17.54,109.17,232.598,2.95,1.83,"Healthcare Services",92,-31.27
1213,"Uni-Asia Grp","CHJ",0.94,14.53,73.884,92.029,3.06,10.11,"Industrial & Commercial Services",87,51.13
1214,"Union Gas","1F2",0.5,24.68,158.884,146.294,13.12,2,"Utilities",77,6.8
1215,"Union Steel","BLA",0.665,11,26.186,80.135,3.7,1.5,"Mineral Resources",72,3.63
1216,"United Food","AZR",0.043,-5.21,8.118,11.561,NULL,NULL,"Chemicals",28,507.01
1217,"Universal Res","BGO",0.17,-64.96,3.985,0.01,NULL,NULL,"Energy - Fossil Fuels",41,-99.94
1218,"UnUsUaL","1D1",0.142,-3.51,146.143,9.462,NULL,NULL,"Cyclical Consumer Services",78,1283.82
1219,"UOA","EH5",0.42,5.28,283.027,237.15,10.11,2.41,"Real Estate",NULL,-25.89
1220,"UOB","U11",30.55,9.52,51504.957,8829,12.8,3.93,"Banking & Investment Services",113,NULL
1221,"UOB Kay Hian","U10",1.41,6.42,1252.102,522.53,11.01,6.24,"Banking & Investment Services",62,-20.57
1222,"UOI","U13",6.6,3.86,403.623,49.434,24.11,2.58,"Insurance",93,-1.01
1223,"UOL","U14",6.94,5.78,5862.462,2947.675,9.98,2.16,"Real Estate",96,30.29
1224,"USP Group","BRS",0.095,24.82,8.638,40.607,1.26,NULL,"Energy - Fossil Fuels",37,1.69
1225,"V2Y Corp","V2Y",0.02,-139.82,7.078,0.603,NULL,NULL,"Insurance",81,-62.94
1226,"Vallianz","WPC",0.045,6.45,54.523,127.13,15.02,NULL,"Transportation",68,112.68
1227,"ValueMax","T6I",0.35,14.98,244.477,297.303,5.07,5.37,"Retailers",81,-4.93
1228,"Valuetronics","BN2",0.56,8.57,243.953,348.576,12.49,4.33,"Technology Equipment",89,-6.21
1229,"VCPlus","43E",0.008,-71.52,37.831,0.608,NULL,NULL,"Mineral Resources",83,2084.55
1230,"Venture","V03",18.62,12.91,5436.269,3471.378,15.68,4.03,"Technology Equipment",91,12.73
1231,"Versalink","40N",0.088,NULL,11.88,NULL,NULL,20.45,"Industrial & Commercial Services",76,NULL
1232,"Vertex SPAC","VT1",4.58,NULL,190.555,NULL,NULL,NULL,"Holding Companies",NULL,NULL
1233,"Vibrant Group","BIP",0.086,4.33,60.024,203.679,6.02,1.74,"Transportation",60,11.56
1234,"VibroPower","BJD",0.042,NULL,3.14,NULL,NULL,NULL,"Utilities",73,NULL
1235,"VICOM Ltd","WJP",1.93,21.04,684.316,105.063,26.4,3.4,"Industrial & Commercial Services",103,9.7
1236,"Vividthree","OMK",0.036,-31.86,13.374,3.5,NULL,NULL,"Cyclical Consumer Services",66,19.9
1237,"Watches.com Ltd","WVJ",0.011,-33.27,5.86,40.382,NULL,NULL,"Retailers",71,84.33
1238,"Wee Hur","E3B",0.205,7.68,191.863,232.491,5.86,2.44,"Industrial & Commercial Services",54,33.08
1239,"Willas-Array","BDR",0.55,7.39,262.866,3422.809,5.07,11,"Technology Equipment",71,-6.39
1240,"Wilmar Intl","F34",3.96,11.87,25357.469,95949.664,8.18,4.17,"Food & Beverages",95,26.11
1241,"Wilton Resources","5F7",0.023,NULL,60.352,0.449,27.81,NULL,"Mineral Resources",70,NULL
1242,"Wing Tai","W05",1.52,3.98,1206.769,468.749,7.99,1.97,"Real Estate",97,-10.64
1243,"Wong Fong Ind","1A1",0.127,4.26,29.845,65.436,13.51,6.3,"Industrial Goods",80,12.43
1244,"World Precision","B49",0.33,2.94,132,229.099,19.38,7.77,"Industrial Goods",59,-10.64
1245,"XMH","BQF",0.26,6.38,29.893,96.58,9.46,0.96,"Industrial Goods",75,40.47
1246,"Y Ventures","1F1",0.023,-86.42,5.678,32.334,NULL,NULL,"Software & IT Services",63,NULL
1247,"Yamada Green Res","BJV",0.13,1.1,22.984,10.993,37.16,NULL,"Food & Beverages",38,-5.23
1248,"Yanlord Land","Z25",1.09,9.61,2124.123,6449.448,3.35,6.24,"Real Estate",80,17.84
1249,"Yeo Hiap Seng","Y03",0.695,-0.09,419.003,349.813,NULL,2.88,"Food & Beverages",89,6.42
1250,"YHI Intl","BPF",0.515,9,151.509,444.037,5.89,6.99,"Automobiles & Auto Parts",67,-4.43
1251,"Ying Li Intl","5DM",0.045,-11.36,115.067,39.799,NULL,NULL,"Real Estate",87,-23.58
1252,"YKGI","YK9",0.174,NULL,73.95,55.252,9.78,NULL,"Cyclical Consumer Services",NULL,NULL
1253,"Yoma Strategic","Z59",0.121,-4.87,271.056,102.716,NULL,NULL,"Real Estate",97,-11.26
1254,"Yongmao","BKX",0.71,5.76,63.013,194.203,6.56,1.41,"Industrial Goods",71,-21.05
1255,"Yongnam","AXB",0.026,NULL,18.303,NULL,NULL,NULL,"Industrial & Commercial Services",49,NULL
1256,"Yunnan Energy","T43",0.169,1.39,275.437,177.4,106.84,NULL,"Technology Equipment",43,323.09
1257,"YuuZoo Networks","AFC",0.038,NULL,28.911,15.733,NULL,NULL,"Software & IT Services",-12.0,-4.17
1258,"YZJ Fin Hldg","YF8",0.355,NULL,1402.459,NULL,NULL,NULL,"Banking & Investment Services",NULL,NULL
1260,"YZJ Shipbldg SGD","BS6",1.25,13.02,4967.596,3892.939,7.69,4,"Industrial Goods",64,NULL
1261,"Zheneng Jinjiang","BWM",0.285,3.57,414.397,873.475,9.36,NULL,"Renewable Energy",65,NULL
1262,"Zhongmin Baihui","5SR",0.62,-13.52,121.718,205.787,NULL,NULL,"Retailers",63,-17.59
1263,"Zhongxin Fruit","5EG",0.028,12.13,29.553,22.286,10.13,NULL,"Food & Beverages",74,-12.77
1264,"ZICO Hldgs","40W",0.071,-0.18,24.812,18.948,NULL,NULL,"Banking & Investment Services",81,-10.06
1265,"Zixin","42W",0.018,0.61,24.909,53.364,33.11,NULL,"Food & Beverages",72,-5.24
1266,"ARA HTrust USD","XZL",0.38,-1.65,216.296,159.083,NULL,4.25,"Real Estate",72.8,73.55
1267,"Asian Pay Tv Tr","S7OU",0.112,3.11,202.312,292.784,5.38,8.93,"Cyclical Consumer Services",63.5,-2.41
1268,"CapLand Ascott T","HMN",1.09,4.85,3755.731,621.242,17.63,5.07,"Real Estate",110.6,57.51
1269,"CapLand India T","CY6U",1.18,10.38,1370.083,210.611,9.95,6.94,"Real Estate",105,9.28
1270,"CDL HTrust","J85",1.28,12.58,1584.946,229.356,7.38,4.18,"Real Estate",85.3,45.42
1271,"Dasin Retail Tr","CEDU",0.205,NULL,164.917,NULL,NULL,18.2,"Real Estate",74.6,NULL
1272,"Eagle HTrust USD","LIW",0.137,-131.19,119.567,69.414,NULL,NULL,"Real Estate",NULL,NULL
1273,"Far East HTrust","Q5T",0.665,10.96,1323.952,82.677,7.38,3.89,"Real Estate",107.4,2.64
1274,"Frasers HTrust","ACV",0.48,4.68,924.515,95.856,15.85,2.92,"Real Estate",89,12.07
1275,"FSL Trust","D8DU",0.082,11.24,144.981,34.452,14.06,46.08,"Transportation",74.5,-3.24
1277,"HPH Trust USD","NS8U",0.205,4.08,1785.776,1549.9,12.76,9.21,"Transportation",71.3,-8.14
1278,"Kep Infra Tr","A7RU",0.545,0.05,2720.525,2005.946,3205.88,7.01,"Chemicals",89.9,27.36
1279,"NetLink NBN Tr","CJLU",0.855,3.89,3331.91,389.276,31.51,6.07,"Telecommunications Services",105.2,3.83
1280,"RHT HealthTrust","RF1U",0.019,-3.55,15.232,0.001,NULL,NULL,"Industrial & Commercial Services",46.2,NULL
1281,"AIMS APAC Reit","O5RU",1.36,5.47,979.668,160.344,12.97,5.53,"Real Estate",92.8,NULL
1282,"BHG Retail Reit","BMGU",0.475,1.58,245.805,71.883,33.88,3.81,"Real Estate",74.7,7.14
1283,"CapLand Ascendas REIT","A17U",2.77,7.4,11645.055,1352.686,15.3,5,"Real Estate",108.7,10.29
1284,"CapLand China T","AU8U",1.19,NULL,1991.932,NULL,NULL,6.3,"Real Estate",93.7,NULL
1285,"CapLand IntCom T","C38U",1.97,5.22,13071.19,1441.747,18.07,4.54,"Real Estate",107.2,10.47
1287,"Cromwell Reit SGD","CWCU",2.37,6.08,922.323,208.52,10.48,9.29,"Real Estate",100.7,8.42
1288,"Daiwa Hse Log Tr","DHLU",0.625,NULL,433.29,NULL,NULL,4.94,"Real Estate",NULL,NULL
1290,"DigiCore Reit USD","DCRU",0.625,NULL,702.085,114.95,480.77,6.24,"Real Estate",NULL,NULL
1291,"EC World Reit","BWCU",0.455,-3.56,368.476,125.097,NULL,12.46,"Real Estate",70.2,1.64
1292,"EliteComREIT GBP","MXNU",0.53,7.03,254.998,37.543,12.2,10.11,"Real Estate",53.6,36.31
1293,"ESR-LOGOS REIT","J91U",0.355,-12.91,2385.312,343.232,NULL,7.24,"Real Estate",70.6,42.25
1294,"First Reit","AW9U",0.275,8.78,566.11,117.2,7.74,9.33,"Real Estate",78.8,46.58
1295,"Frasers Cpt Tr","J69U",2.17,5.26,3698.152,356.931,17.84,4.7,"Real Estate",77.1,4.63
1296,"Frasers L&C Tr","BUOU",1.32,15.48,4899.318,450.187,6.73,5.64,"Real Estate",101.9,-4.08
1298,"IREIT Global SGD","UD1U",0.555,25.75,641.52,83.372,2.57,4.86,"Real Estate",68.6,34.69
1299,"KepPacOakReitUSD","CMOU",0.515,5.7,537.892,147.976,11.08,11.26,"Real Estate",100,4.76
1300,"Keppel DC Reit","AJBU",2,9.81,3437.3,277.322,14.88,4.77,"Real Estate",93,2.31
1301,"Keppel Reit","K71U",0.915,7.66,3424.134,219.286,8.56,5.02,"Real Estate",85.6,1.24
1302,"Lendlease Reit","JYEU",0.745,8.92,1703.807,164.205,8.97,5.34,"Real Estate",94.8,115.4
1303,"Lippo Malls Tr","D5IU",0.034,-5.53,261.692,205.259,NULL,10.59,"Real Estate",79.8,35.48
1304,"ManulifeReit USD","BTOU",0.29,-11.75,516.5,202.559,NULL,16.38,"Real Estate",87.8,9.43
1305,"Mapletree Ind Tr","ME8U",2.31,8.36,6293.041,677.857,14.39,5.24,"Real Estate",83.6,19.54
1306,"Mapletree Log Tr","M44U",1.68,10.53,8079.933,734.616,10.59,4.86,"Real Estate",86.4,12.55
1307,"Mapletree PanAsia Com Tr","N2IU",1.73,NULL,9058.386,NULL,NULL,4.88,"Real Estate",77,NULL
1308,"OUE Com Reit","TS0U",0.345,8.05,1887.478,241.507,7.29,5.36,"Real Estate",77.7,-3.35
1309,"PARAGONREIT","SK6U",0.965,6.4,2712.471,281.856,14.82,NULL,"Real Estate",92,1.69
1310,"ParkwayLife Reit","C2PU",4.07,2.89,2462.358,129.972,59.86,3.13,"Real Estate",85.7,NULL
1311,"Prime US ReitUSD","OXMU",0.485,-2.86,573.772,163.012,NULL,13.51,"Real Estate",65.9,4
1312,"Sabana Reit","M1GU",0.42,9.24,460.371,94.907,8.63,5.92,"Real Estate",74.4,15.86
1313,"Sasseur Reit","CRPU",0.815,10.25,1000.696,134.6,8.36,9.02,"Real Estate",88,NULL
1314,"StarhillGbl Reit","P40U",0.555,2.9,1248.461,190.192,23.09,5.96,"Real Estate",91.3,3.46
1315,"Suntec Reit","T82U",1.39,7.2,4012.486,427.269,8.65,5.51,"Real Estate",74.1,19.33
1316,"UtdHampshReitUSD","ODBU",0.515,11.38,291.713,61.242,6.04,10.68,"Real Estate",77.6,9.32
