Trading Name,Code,Last Price,ROE %,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score,1-yr %Rev. Chg.
ETC Singapore,1C0,0.034,,31.666,,,,Real Estate,82,
EuroSports Gbl,5G1,0.195,-18.2,51.675,62.426,,,Retailers,84,36.22
Ezra,5DN,0.011,-121.68,31.511,695.978,,,Energy - Fossil Fuels,30,-3.44
F & N,F99,1.17,4.1,1702.699,2003.214,13.65,4.27,Food & Beverages,78,6.6
Falcon Energy,5FL,0.027,,22.719,39.011,,,Energy - Fossil Fuels,50,-33.91
Far East,5TJ,0.101,1.77,11.258,93.951,14.77,1.78,Industrial Goods,64,34.05
Far East Orchard,O10,1.09,3.03,517.451,115.545,13.31,2.75,Cyclical Consumer Services,92,13.03
Federal Int,BDU,0.132,4.87,18.581,122.131,4.74,,Energy - Fossil Fuels,70,82.62
Figtree,5F4,0.033,-9.05,11.86,22.826,,6.06,Real Estate,59,97.24
First Resources,EB5,1.53,22.53,2423.632,1530.282,7.1,4.97,Food & Beverages,90,45.21
First Sponsor,ADN,1.29,6.77,1192.162,547.666,13.81,2.67,Real Estate,74,113.48
FJ Benjamin,F10,0.025,8.29,29.683,80.903,10.2,,Retailers,61,21.04
Food Empire,F03,0.765,14.49,419.276,460.991,8.87,2.12,Food & Beverages,50,20.08
Forise Int,8A1,0.125,2.15,5.325,1.602,98.47,,Industrial & Commercial Services,57,-21.72
FortressMinerals,OAJ,0.4,21,200,61.767,12,2,Mineral Resources,83,-16.27
Frasers Property,TQ5,0.905,7.79,3553.068,3877.042,4.1,3.31,Real Estate,86,3.01
Frencken,E28,1.16,14.76,495.349,780.706,9.27,3.56,Industrial Goods,32,10.99
Fu Yu,F13,0.235,12.03,176.954,246.926,9,7.02,Industrial Goods,74,62.19
Full Apex,BTY,0.405,-1.77,17.293,194.109,,,Chemicals,7,11.9
Fuxing China,AWK,0.63,13.17,11.014,163.77,0.8,,Cyclical Consumer Products,59,19.32
G Invacom,QS9,0.053,-3.44,14.967,105.398,,,Technology Equipment,63,-12.35
G K Goh,G41,0.9,-5.6,282.855,-38.828,,2.22,Banking & Investment Services,70,-53.56
Gallant Venture,5IG,0.129,-5.88,704.805,148.31,,,Automobiles & Auto Parts,55,6.52
GCCP,41T,0.012,-11.21,16.571,2.61,,,Mineral Resources,70,85.06
GDS Global,5VP,0.053,-18.97,5.936,13.664,,,Cyclical Consumer Products,75,5.18
Genting Sing,G13,1,2.29,12094.026,1175.643,67.48,2,Cyclical Consumer Services,88,0.46
Geo Energy Res,RE4,0.32,,454.679,1061.711,1.51,31.25,Energy - Fossil Fuels,72,73.9
GHY Culture,XJB,0.405,-0.66,434.886,60.159,,0.25,Cyclical Consumer Services,80,-55.01
Global Inv,B73,0.129,-9.49,222.376,-22.451,,6.2,Collective Investments,96,-148.35
Global Palm Res,BLW,0.16,8.69,41.862,46.918,6.71,10.31,Food & Beverages,51,37.11
Global Testing,AYN,1.36,36.27,47.877,62.039,2.84,14.71,Technology Equipment,73,71.29
Golden Agri-Res,E5H,0.26,15.2,3337.763,14868.986,3.49,7.22,Food & Beverages,85,37.79
Golden Energy,AUE,0.8,57.6,2110.48,4637.605,4.13,,Energy - Fossil Fuels,70,154.31
Goodland,5PC,0.142,5.41,55.957,37.077,4.87,4.45,Real Estate,61,44.97
GP Industries,G20,0.635,8.91,331.063,1199.293,7.56,4.72,Industrial Goods,75,-0.49
Grand Banks,G50,0.34,6.46,62.776,75.177,15.75,1.47,Cyclical Consumer Products,71,-21.74
Grand Venture,JLB,0.54,17.51,183.216,129.78,10.94,1.48,Industrial Goods,57,47.43
Great Eastern,G07,18.98,9.91,8983.596,14713.1,9.52,3.42,Insurance,103,-37.9
Green Build,Y06,0.017,-211.79,4.626,2.99,,,Industrial & Commercial Services,56,
GRP,BLU,0.078,,15.109,,,,Automobiles & Auto Parts,66,
GS Hldg,43A,0.086,,16.253,,,,Industrial & Commercial Services,37,
GSH,BDX,0.16,-4.22,316.326,97.881,,,Industrial & Commercial Services,69,3.94
GSS Energy,41F,0.042,7.07,26.468,125.953,5.17,,Industrial Goods,65,3.27
Guoan Intl,G11,0.011,-15.3,65.463,28.508,,,Technology Equipment,,8.9
GuocoLand,F17,1.64,8.09,1940.732,1174.35,4.98,3.66,Real Estate,89,19
H2G Green,5AI,0.022,-12.03,24.182,11.438,,,Cyclical Consumer Products,63,87.27
Hafary,5VS,0.21,22.24,90.415,141.019,5.36,7.14,Cyclical Consumer Products,64,25.11
Hai Leck,BLH,0.42,5.64,95.169,81.285,13.62,9.52,Energy - Fossil Fuels,58,9.4
Halcyon Agri,5VJ,0.41,0.62,653.955,3444.903,116.29,,Automobiles & Auto Parts,85,24.32
Hatten Land,PH0,0.02,-162.34,37.142,19.571,,,Real Estate,35,280.33
Haw Par,H02,10.8,4.24,2390.776,170.874,17.79,2.78,Pharmaceuticals & Medical Research,96,78.01
HC Surgical,1B1,0.39,37.14,59.044,19.02,15.32,5.64,Healthcare Services,70,-16.53
HealthBank,40B,0.144,-7.49,13.579,0.046,,,Cyclical Consumer Services,70,342.71
Healthway Med,5NG,0.037,6.76,167.816,153.5,12.98,,Healthcare Services,83,29.94
Heatec Jietong,5OR,0.022,-25.67,4.505,18.098,,,Cyclical Consumer Products,76,-30.78
Heeton,5DP,0.275,4.05,134.127,61.404,7.53,1.36,Real Estate,55,97.87
