Trading Name,Code,Last Price,ROE %,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score,1-yr %Rev. Chg.
Yanlord Land,Z25,1.09,9.61,2124.123,6449.448,3.35,6.24,Real Estate,80,17.84
Yeo Hiap Seng,Y03,0.695,-0.09,419.003,349.813,,2.88,Food & Beverages,89,6.42
YHI Intl,BPF,0.515,9,151.509,444.037,5.89,6.99,Automobiles & Auto Parts,67,-4.43
Ying Li Intl,5DM,0.045,-11.36,115.067,39.799,,,Real Estate,87,-23.58
YKGI,YK9,0.174,,73.95,55.252,9.78,,Cyclical Consumer Services,,
Yoma Strategic,Z59,0.121,-4.87,271.056,102.716,,,Real Estate,97,-11.26
Yongmao,BKX,0.71,5.76,63.013,194.203,6.56,1.41,Industrial Goods,71,-21.05
Yongnam,AXB,0.026,,18.303,,,,Industrial & Commercial Services,49,
Yunnan Energy,T43,0.169,1.39,275.437,177.4,106.84,,Technology Equipment,43,323.09
YuuZoo Networks,AFC,0.038,,28.911,15.733,,,Software & IT Services,-12,-4.17
YZJ Fin Hldg,YF8,0.355,,1402.459,,,,Banking & Investment Services,,
YZJ Shipbldg CNY,SO7,5.28,,,,,,,,
YZJ Shipbldg SGD,BS6,1.25,13.02,4967.596,3892.939,7.69,4,Industrial Goods,64,
Zheneng Jinjiang,BWM,0.285,3.57,414.397,873.475,9.36,,Renewable Energy,65,
Zhongmin Baihui,5SR,0.62,-13.52,121.718,205.787,,,Retailers,63,-17.59
Zhongxin Fruit,5EG,0.028,12.13,29.553,22.286,10.13,,Food & Beverages,74,-12.77
ZICO Hldgs,40W,0.071,-0.18,24.812,18.948,,,Banking & Investment Services,81,-10.06
Zixin,42W,0.018,0.61,24.909,53.364,33.11,,Food & Beverages,72,-5.24
ARA HTrust USD,XZL,0.38,-1.65,216.296,159.083,,4.25,Real Estate,72.8,73.55
Asian Pay Tv Tr,S7OU,0.112,3.11,202.312,292.784,5.38,8.93,Cyclical Consumer Services,63.5,-2.41
CapLand Ascott T,HMN,1.09,4.85,3755.731,621.242,17.63,5.07,Real Estate,110.6,57.51
CapLand India T,CY6U,1.18,10.38,1370.083,210.611,9.95,6.94,Real Estate,105,9.28
CDL HTrust,J85,1.28,12.58,1584.946,229.356,7.38,4.18,Real Estate,85.3,45.42
Dasin Retail Tr,CEDU,0.205,,164.917,,,18.2,Real Estate,74.6,
Eagle HTrust USD,LIW,0.137,-131.19,119.567,69.414,,,Real Estate,,
Far East HTrust,Q5T,0.665,10.96,1323.952,82.677,7.38,3.89,Real Estate,107.4,2.64
Frasers HTrust,ACV,0.48,4.68,924.515,95.856,15.85,2.92,Real Estate,89,12.07
FSL Trust,D8DU,0.082,11.24,144.981,34.452,14.06,46.08,Transportation,74.5,-3.24
HPH Trust SGD,P7VU,0.275,,,,,,,,
HPH Trust USD,NS8U,0.205,4.08,1785.776,1549.9,12.76,9.21,Transportation,71.3,-8.14
Kep Infra Tr,A7RU,0.545,0.05,2720.525,2005.946,3205.88,7.01,Chemicals,89.9,27.36
NetLink NBN Tr,CJLU,0.855,3.89,3331.91,389.276,31.51,6.07,Telecommunications Services,105.2,3.83
RHT HealthTrust,RF1U,0.019,-3.55,15.232,0.001,,,Industrial & Commercial Services,46.2,
AIMS APAC Reit,O5RU,1.36,5.47,979.668,160.344,12.97,5.53,Real Estate,92.8,
BHG Retail Reit,BMGU,0.475,1.58,245.805,71.883,33.88,3.81,Real Estate,74.7,7.14
CapLand Ascendas REIT,A17U,2.77,7.4,11645.055,1352.686,15.3,5,Real Estate,108.7,10.29
CapLand China T,AU8U,1.19,,1991.932,,,6.3,Real Estate,93.7,
CapLand IntCom T,C38U,1.97,5.22,13071.19,1441.747,18.07,4.54,Real Estate,107.2,10.47
Cromwell Reit EUR,CWBU,1.64,,,,,,,,
Cromwell Reit SGD,CWCU,2.37,6.08,922.323,208.52,10.48,9.29,Real Estate,100.7,8.42
Daiwa Hse Log Tr,DHLU,0.625,,433.29,,,4.94,Real Estate,,
Daiwa Hse Log Tr A,JEUU,0,,,,,,,,
DigiCore Reit USD,DCRU,0.625,,702.085,114.95,480.77,6.24,Real Estate,,
EC World Reit,BWCU,0.455,-3.56,368.476,125.097,,12.46,Real Estate,70.2,1.64
EliteComREIT GBP,MXNU,0.53,7.03,254.998,37.543,12.2,10.11,Real Estate,53.6,36.31
ESR-LOGOS REIT,J91U,0.355,-12.91,2385.312,343.232,,7.24,Real Estate,70.6,42.25
First Reit,AW9U,0.275,8.78,566.11,117.2,7.74,9.33,Real Estate,78.8,46.58
Frasers Cpt Tr,J69U,2.17,5.26,3698.152,356.931,17.84,4.7,Real Estate,77.1,4.63
Frasers L&C Tr,BUOU,1.32,15.48,4899.318,450.187,6.73,5.64,Real Estate,101.9,-4.08
IREIT Global EUR,8U7U,0.39,,,,,,,,
IREIT Global SGD,UD1U,0.555,25.75,641.52,83.372,2.57,4.86,Real Estate,68.6,34.69
KepPacOakReitUSD,CMOU,0.515,5.7,537.892,147.976,11.08,11.26,Real Estate,100,4.76
Keppel DC Reit,AJBU,2,9.81,3437.3,277.322,14.88,4.77,Real Estate,93,2.31
Keppel Reit,K71U,0.915,7.66,3424.134,219.286,8.56,5.02,Real Estate,85.6,1.24
Lendlease Reit,JYEU,0.745,8.92,1703.807,164.205,8.97,5.34,Real Estate,94.8,115.4
Lippo Malls Tr,D5IU,0.034,-5.53,261.692,205.259,,10.59,Real Estate,79.8,35.48
ManulifeReit USD,BTOU,0.29,-11.75,516.5,202.559,,16.38,Real Estate,87.8,9.43
Mapletree Ind Tr,ME8U,2.31,8.36,6293.041,677.857,14.39,5.24,Real Estate,83.6,19.54
Mapletree Log Tr,M44U,1.68,10.53,8079.933,734.616,10.59,4.86,Real Estate,86.4,12.55
Mapletree PanAsia Com Tr,N2IU,1.73,,9058.386,,,4.88,Real Estate,77,
OUE Com Reit,TS0U,0.345,8.05,1887.478,241.507,7.29,5.36,Real Estate,77.7,-3.35
PARAGONREIT,SK6U,0.965,6.4,2712.471,281.856,14.82,,Real Estate,92,1.69
ParkwayLife Reit,C2PU,4.07,2.89,2462.358,129.972,59.86,3.13,Real Estate,85.7,
Prime US ReitUSD,OXMU,0.485,-2.86,573.772,163.012,,13.51,Real Estate,65.9,4
Sabana Reit,M1GU,0.42,9.24,460.371,94.907,8.63,5.92,Real Estate,74.4,15.86
Sasseur Reit,CRPU,0.815,10.25,1000.696,134.6,8.36,9.02,Real Estate,88,
StarhillGbl Reit,P40U,0.555,2.9,1248.461,190.192,23.09,5.96,Real Estate,91.3,3.46
Suntec Reit,T82U,1.39,7.2,4012.486,427.269,8.65,5.51,Real Estate,74.1,19.33
UtdHampshReitUSD,ODBU,0.515,11.38,291.713,61.242,6.04,10.68,Real Estate,77.6,9.32
