Trading Name,Code,Last Price,ROE %,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score,1-yr %Rev. Chg.
F & N,F99,1.19,4.1,1717.252,2003.214,13.77,4.24,Food & Beverages,78,6.6
Falcon Energy,5FL,0.027,,22.762,39.084,,,Energy - Fossil Fuels,50,-33.91
Far East,5TJ,0.092,1.77,10.255,93.951,13.45,1.96,Industrial Goods,64,34.05
Far East Orchard,O10,1.07,3.03,512.704,115.545,13.19,2.78,Cyclical Consumer Services,92,13.03
Federal Int,BDU,0.145,4.87,19.707,122.131,5.02,,Energy - Fossil Fuels,70,82.62
Figtree,5F4,0.033,-9.05,11.86,22.826,,6.06,Real Estate,59,97.24
First Resources,EB5,1.51,22.53,2375.394,1533.168,6.94,5.07,Food & Beverages,90,45.21
First Sponsor,ADN,1.29,6.77,1201.404,547.666,13.92,2.65,Real Estate,74,113.48
FJ Benjamin,F10,0.023,8.29,27.308,80.903,9.39,,Retailers,61,21.04
Food Empire,F03,0.825,14.49,438.458,461.861,9.25,2.03,Food & Beverages,50,20.08
Forise Int,8A1,0.125,2.15,5.325,1.602,98.47,,Industrial & Commercial Services,57,-21.72
FortressMinerals,OAJ,0.38,21,189.943,61.883,11.37,2.11,Mineral Resources,83,-16.27
Frasers Property,TQ5,0.89,7.79,3553.068,3877.042,4.1,3.31,Real Estate,86,3.01
Frencken,E28,1.13,14.76,482.539,780.706,9.03,3.65,Industrial Goods,32,10.99
Fu Yu,F13,0.23,12.03,176.954,246.926,9,7.02,Industrial Goods,74,62.19
Full Apex,BTY,0.405,-1.77,17.315,193.128,,,Chemicals,7,11.9
Fuxing China,AWK,0.63,13.17,11.004,162.942,0.81,,Cyclical Consumer Products,59,19.32
G Invacom,QS9,0.053,-3.44,14.963,105.597,,,Technology Equipment,63,-12.35
G K Goh,G41,0.895,-5.6,281.283,-38.828,,2.23,Banking & Investment Services,70,-53.56
Gallant Venture,5IG,0.129,-5.88,704.805,148.31,,,Automobiles & Auto Parts,55,6.52
GCCP,41T,0.012,-11.21,16.616,2.594,,,Mineral Resources,70,85.06
GDS Global,5VP,0.053,-18.97,5.936,13.664,,,Cyclical Consumer Products,75,5.18
Genting Sing,G13,1.02,2.29,12335.907,1175.643,68.83,1.96,Cyclical Consumer Services,88,0.46
Geo Energy Res,RE4,0.315,,454.542,1063.714,1.51,31.25,Energy - Fossil Fuels,72,73.9
GHY Culture,XJB,0.405,-0.66,434.886,60.159,,0.25,Cyclical Consumer Services,80,-55.01
Global Inv,B73,0.131,-9.49,222.376,-22.451,,6.2,Collective Investments,96,-148.35
Global Palm Res,BLW,0.15,8.69,39.325,46.805,6.32,11,Food & Beverages,51,37.11
Global Testing,AYN,1.3,36.27,46.455,62.156,2.75,15.15,Technology Equipment,73,71.29
Golden Agri-Res,E5H,0.26,15.2,3336.758,14897.033,3.48,7.22,Food & Beverages,85,37.79
Golden Energy,AUE,0.81,57.6,2136.861,4646.353,4.17,,Energy - Fossil Fuels,70,154.31
Goodland,5PC,0.136,5.41,53.593,37.077,4.67,4.64,Real Estate,61,44.97
GP Industries,G20,0.635,8.91,331.063,1199.293,7.56,4.72,Industrial Goods,75,-0.49
Grand Banks,G50,0.32,13.5,59.083,91.624,7.12,1.56,Cyclical Consumer Products,71,19.95
Grand Venture,JLB,0.525,17.51,183.216,129.78,10.94,1.48,Industrial Goods,57,47.43
Great Eastern,G07,18.64,9.91,8945.73,14713.1,9.48,3.44,Insurance,103,-37.9
Green Build,Y06,0.021,-211.79,5.71,2.975,,,Industrial & Commercial Services,56,
GRP,BLU,0.073,,15.109,,,,Automobiles & Auto Parts,66,
GS Hldg,43A,0.102,,19.277,,,,Industrial & Commercial Services,37,
GSH,BDX,0.167,-4.22,330.165,97.881,,,Industrial & Commercial Services,69,3.94
GSS Energy,41F,0.049,7.07,30.879,125.953,6.03,,Industrial Goods,65,3.27
Guoan Intl,G11,0.011,-15.3,65.586,28.561,,,Technology Equipment,,8.9
GuocoLand,F17,1.6,8.09,1928.898,1174.35,4.95,3.68,Real Estate,89,19
H2G Green,5AI,0.022,-12.03,24.182,11.438,,,Cyclical Consumer Products,63,87.27
Hafary,5VS,0.21,22.24,90.415,141.019,5.36,7.14,Cyclical Consumer Products,64,25.11
Hai Leck,BLH,0.42,5.64,95.169,81.285,13.62,4.76,Energy - Fossil Fuels,58,9.4
Halcyon Agri,5VJ,0.405,0.62,645.785,3451.401,114.62,,Automobiles & Auto Parts,85,24.32
Hatten Land,PH0,0.019,-162.34,35.38,19.451,,,Real Estate,35,280.33
Haw Par,H02,10.8,4.24,2346.503,170.874,17.46,2.83,Pharmaceuticals & Medical Research,96,78.01
HC Surgical,1B1,0.39,37.14,59.044,19.02,15.32,5.64,Healthcare Services,70,-16.53
HealthBank,40B,0.144,-7.49,13.567,0.045,,,Cyclical Consumer Services,70,342.71
Healthway Med,5NG,0.037,6.76,172.352,153.5,13.33,,Healthcare Services,83,29.94
Heatec Jietong,5OR,0.022,-25.67,4.505,18.098,,,Cyclical Consumer Products,76,-30.78
Heeton,5DP,0.275,4.05,134.127,61.404,7.53,1.36,Real Estate,55,97.87
Hengyang Petro,5PD,0.185,-0.28,37.607,0,,,Energy - Fossil Fuels,52,
HG Metal,BTG,0.34,11.75,45.714,160.996,3.47,11.43,Mineral Resources,55,38.78
HGH,5GZ,0.013,-4.33,24.932,22.828,,,Mineral Resources,56,81.9
Hiap Hoe,5JK,0.76,1.55,360.664,97.009,30.93,0.66,Real Estate,74,18.34
Hiap Tong,5PO,0.074,9.09,22.797,85.224,3.08,,Banking & Investment Services,69,22.97
HL Global Ent,AVX,0.25,-1.78,23.479,2.458,,,Cyclical Consumer Services,76,-47.61
Ho Bee Land,H13,2.38,9.78,1680.978,368.683,4.23,4.18,Real Estate,68,38.8
Hock Lian Seng,J2T,0.285,11.2,140.829,147.73,5.72,4.55,Industrial & Commercial Services,68,44.22
Hoe Leong,H20,0.002,8.21,27.501,44.949,50,,Industrial Goods,64,
Hong Fok,H30,0.95,2.16,827.082,103.349,14.72,1.05,Real Estate,76,29.84
Hong Lai Huat,CTO,0.071,2.88,35.213,5.635,4.93,2.94,Real Estate,54,-59.11
Hong Leong Asia,H22,0.685,6.57,512.365,4190.424,8.28,2.92,Automobiles & Auto Parts,100,-19.31
Hong Leong Fin,S41,2.41,4.36,1088.974,243.837,8.35,4.94,Banking & Investment Services,85,-4.65
HongkongLand USD,H78,4.69,2.37,10689.715,2392.5,13.7,4.58,Real Estate,,10.77
Hor Kew,BBP,0.255,6.63,13.277,58.841,3.09,,Industrial & Commercial Services,33,-6.28
Hosen,5EV,0.051,5.52,16.245,68.146,9.14,4,Food & Drug Retailing,64,1.18
